1 : [1041, 127]
2 : [1071, 158]
3 : [777, 171]
4 : [804, 196]
5 : [1151, 275]
6 : [1105, 294]
7 : [1286, 450]
8 : [1255, 450]
9 : [1231, 462]
10 : [1299, 476]
11 : [548, 621]
12 : [511, 626]
13 : [698, 661]
14 : [712, 702]
15 : [328, 653]
16 : [1154, 775]
17 : [205, 853]
18 : [246, 875]
19 : [864, 943]
