1 : [555, 31]
2 : [530, 65]
3 : [278, 137]
4 : [317, 145]
5 : [717, 180]
6 : [489, 239]
7 : [799, 291]
8 : [769, 302]
9 : [281, 306]
10 : [559, 355]
11 : [575, 379]
12 : [1049, 475]
13 : [477, 486]
14 : [723, 562]
15 : [295, 649]
16 : [855, 712]
17 : [876, 742]
18 : [849, 744]
19 : [157, 764]
20 : [145, 801]
21 : [154, 832]
22 : [707, 771]
23 : [729, 783]
24 : [1187, 827]
25 : [409, 879]
26 : [427, 890]
27 : [579, 960]
28 : [638, 962]
29 : [851, 951]
30 : [865, 971]
31 : [841, 992]
