# nucleoli targets
1 : [79, 33]
2 : [666, 78]
3 : [1264, 50]
4 : [371, 71]
5 : [1013, 109]
6 : [1356, 132]
7 : [903, 226]
8 : [1235, 230]
9 : [144, 338]
10 : [1061, 372]
11 : [581, 452]
12 : [361, 533]
13 : [191, 525]
14 : [1308, 578]
15 : [499, 669]
16 : [1238, 828]
17 : [153, 754]
18 : [726, 816]
19 : [377, 852]
20 : [1045, 897]
21 : [22, 960]
# targets in center of empty nuclei
22 : [679, 385]
23 : [959, 586]
24 : [349, 1005]
