# nucleoli targets
1 : [956, 134]
2 : [670, 104]
3 : [633, 245]
4 : [877, 365]
5 : [1228, 372]
6 : [469, 450]
7 : [872, 469]
8 : [15, 528]
9 : [467, 605]
10 : [1293, 673]
11 : [467, 773]
12 : [944, 824]
13 : [147, 800]
14 : [791, 935]
# targets in center of empty nuclei
15 : [165, 234]
16 : [259, 558]
17 : [210, 1011]
